fecha,trigo,maiz,sorgo,girasol,soja,tipo_cambio_bna_vendedor,trigo_usd,maiz_usd,sorgo_usd,girasol_usd,soja_usd
2020-06-25,1290000,860000,1015000,1749000,1550000,70.16,18386.545039908782,12257.69669327252,14466.932725199544,24928.734321550743,22092.36031927024
2020-06-29,1298000,870000,1018000,1760000,1534000,70.4,18437.5,12357.954545454544,14460.227272727272,24999.999999999996,21789.772727272724
2020-06-30,1298000,895000,1033000,1791500,1562000,70.46,18421.799602611412,12702.242407039455,14660.800454158389,25425.773488504117,22168.60630144763
2020-07-01,1315000,914000,1005000,1793000,1590000,70.52,18647.192285876346,12960.862166761202,14251.27623369257,25425.411230856495,22546.795235394216
2020-07-02,1315000,895000,1055000,1795000,1600000,70.58,18631.34032303769,12680.64607537546,14947.577217342023,25432.133748937376,22669.311419665628
2020-07-03,1320000,873500,1056000,1845000,1600000,70.64,18686.296715741788,12365.515288788221,14949.037372593431,26118.346545866363,22650.056625141562
2020-07-06,1335000,890000,1060000,1845000,1602000,70.82,18850.607173114942,12567.071448743294,14967.523298503249,26051.962722394805,22620.72860773793
2020-07-07,1350000,884000,1060000,1845000,1625000,70.87,19048.962889798222,12473.543107097501,14956.963454211937,26033.582616057567,22929.307182164524
2020-07-08,1358000,895000,1060000,1846500,1634000,70.94,19142.93769382577,12616.295460952919,14942.204680011278,26029.038624189456,23033.54947843248
2020-07-13,1385000,888000,1060000,1854000,1605500,71.24,19441.325098259407,12464.907355418305,14879.281302638969,26024.705221785516,22536.496350364967
2020-07-14,1386400,892000,1066500,1856000,1635000,71.3,19444.60028050491,12510.518934081347,14957.924263674615,26030.85553997195,22931.276297335204
2020-07-15,1400000,909000,1067400,1857500,1640000,71.36,19618.83408071749,12738.22869955157,14957.959641255606,26029.98878923767,22982.062780269058
2020-07-16,1400000,926000,1068000,1859000,1670000,71.42,19602.352282273874,12965.555866704004,14953.79445533464,26029.123494819378,23382.805936712404
2020-07-17,1410000,934000,1069000,1890000,1680000,71.48,19725.797425853383,13066.59205372132,14955.232232792388,26440.96250699496,23503.077783995523
2020-07-20,1400000,936000,1072000,1893000,1685000,71.66,19536.701088473346,13061.680156293609,14959.531119173877,26416.41082891432,23513.81523862685
2020-07-21,1400000,937000,1073000,1895000,1695000,71.72,19520.356943669827,13064.696040156163,14960.95928611266,26422.197434467373,23633.57501394311
2020-07-22,1400000,945000,1074000,1905000,1704000,71.78,19504.040122596823,13165.227082752855,14962.385065477849,26539.426023962107,23739.20312064642
2020-07-23,1395000,990000,1075000,1913000,1727000,71.84,19418.15144766147,13780.623608017817,14963.80846325167,26628.61915367483,24039.532293986635
2020-07-24,1395000,990000,1090000,1922000,1730000,71.9,19401.947148817802,13769.123783031988,15159.944367176633,26731.57162726008,24061.196105702362
2020-07-27,1370000,978000,1078000,1940000,1732000,72.08,19006.659267480576,13568.257491675917,14955.60488346282,26914.539400665926,24028.856825749168
2020-07-28,1360000,935000,1079000,1942000,1720000,72.14,18852.231771555307,12960.909342944275,14957.028001108954,26919.87801497089,23842.52841696701
2020-07-29,1368000,940000,1080000,1944000,1727000,72.2,18947.36842105263,13019.390581717451,14958.448753462604,26925.207756232685,23919.6675900277
2020-07-30,1369000,958000,1116000,1945000,1725000,72.26,18945.474674785495,13257.680597841128,15444.22917243288,26916.689731525046,23872.12842513147
2020-07-31,1380000,974000,1115000,1947000,1735000,72.32,19081.85840707965,13467.920353982303,15417.588495575223,26922.013274336285,23990.597345132745
2020-08-03,1374000,942500,1121000,1952000,1735000,72.52,18946.49751792609,12996.414782129068,15457.80474351903,26916.712630998347,23924.434638720355
2020-08-04,1375000,948000,1143000,1954000,1722500,72.57,18947.22337053879,13063.249276560564,15750.310045473338,26925.72688438749,23735.703458729506
2020-08-05,1376000,941000,1122500,1955000,1730000,72.62,18947.948223629854,12957.862847700357,15457.174332139906,26920.958413660148,23822.63839162765
2020-08-06,1370000,950000,1124000,1957000,1739000,72.7,18844.566712517193,13067.400275103164,15460.79779917469,26918.844566712516,23920.22008253095
2020-08-07,1340000,940000,1125000,1959000,1734000,72.77,18414.18166826989,12917.41102102515,15459.667445375842,26920.434244881133,23828.500755805966
2020-08-10,1340000,975000,1127000,1964500,1750000,72.95,18368.745716244,13365.318711446196,15448.93762851268,26929.40370116518,23989.03358464702
2020-08-11,1360000,985000,1129000,1965000,1740000,73.0,18630.13698630137,13493.150684931506,15465.753424657534,26917.80821917808,23835.616438356163
2020-08-12,1360000,1010000,1129000,1967000,1751000,73.05,18617.385352498288,13826.146475017113,15455.167693360712,26926.762491444217,23969.88364134155
2020-08-13,1360000,1025000,1130000,1969000,1785000,73.11,18602.10641499111,14019.96990835727,15456.161947749966,26932.020243468745,24415.26466967583
2020-08-14,1357000,1021400,1167300,1970000,1776000,73.16,18548.387096774193,13961.180973209404,15955.440131219246,26927.28266812466,24275.560415527612
2020-08-18,1365000,1038000,1171200,1976000,1800000,73.4,18596.730245231607,14141.689373297002,15956.403269754766,26920.980926430515,24523.160762942778
2020-08-19,1370000,1045000,1172500,1980000,1800000,73.48,18644.52912357104,14221.556886227545,15956.722917800762,26946.107784431137,24496.461622210125
2020-08-20,1375000,1060000,1173000,1980000,1791000,73.53,18699.85040119679,14415.884672922617,15952.672378620971,26927.784577723378,24357.405140758874
2020-08-21,1390000,1064000,1174000,1981500,1783000,73.58,18891.00298994292,14460.451209567818,15955.422669203588,26929.87224789345,24232.12829573254
2020-08-24,1410000,1070000,1170000,1985000,1797000,73.73,19123.8301912383,14512.4101451241,15868.710158687101,26922.55526922555,24372.71124372711
2020-08-25,1410000,1104000,1175000,1987500,1830000,73.81,19103.102560628642,14957.322855981574,15919.2521338572,26927.24563067335,24793.388429752067
2020-08-26,1420000,1105000,1179000,1989000,1840000,73.86,19225.561873815328,14960.73652856756,15962.632006498781,26929.32575142161,24911.995667479016
2020-08-27,1430000,1110000,1180000,2000000,1860000,73.94,19340.005409791724,15012.172031376793,15958.885582905059,27048.95861509332,25155.53151203679
2020-08-28,1431000,1122000,1181000,2002000,1880000,74.0,19337.837837837837,15162.162162162162,15959.45945945946,27054.054054054053,25405.405405405407
2020-08-31,1434000,1125000,1191000,2007000,1900000,74.18,19331.35616069021,15165.812887570772,16055.540576974925,27055.81019142626,25613.372876786194
2020-09-01,1444000,1133000,1191000,2005000,1905000,74.25,19447.811447811448,15259.25925925926,16040.40404040404,27003.367003367002,25656.565656565657
2020-09-02,1450000,1126000,1186000,2030000,1912000,74.32,19510.22604951561,15150.699677072122,15958.019375672768,27314.316469321853,25726.587728740582
2020-09-03,1460000,1124000,1187000,2040000,1914000,74.38,19628.932508738908,15111.58913686475,15958.591019091155,27426.727614950258,25732.72385049745
2020-09-04,1450000,1150500,1200000,2004400,1923000,74.44,19478.774852229984,15455.400322407308,16120.365394948953,26926.3836646964,25832.885545405697
2020-09-07,1460000,1135000,1200000,2025000,1930000,74.44,19613.111230521226,15247.178936055885,16120.365394948953,27203.11660397636,25926.921010209564
2020-09-08,1470000,1140000,1229000,2086000,1938000,74.71,19676.080845937628,15259.001472359792,16450.274394324722,27921.295676616253,25940.302503011648
2020-09-09,1475000,1141000,1230000,2088000,1955000,74.77,19727.16330078909,15260.131068610406,16450.44804065802,27925.638625117026,26146.850341045876
2020-09-10,1471000,1167000,1306000,2090000,1965000,74.84,19655.26456440406,15593.265633351148,17450.561197220737,27926.242650988774,26256.012827365044
2020-09-11,1471000,1190000,1345000,2092000,2002000,74.91,19636.897610465894,15885.729542117208,17954.879188359366,27926.845547990924,26725.403817914834
2020-09-14,1471000,1190000,1345000,2098000,2012000,75.12,19582.00212992545,15841.320553780617,17904.68583599574,27928.64749733759,26783.81256656017
2020-09-15,1471000,1200000,1425000,2100000,2018000,75.19,19563.77177816199,15959.569091634527,18951.988296316,27929.24591036042,26838.675355765394
2020-09-16,1475000,1208000,1426000,2101500,2070000,75.25,19601.328903654485,16053.156146179403,18950.16611295681,27926.91029900332,27508.30564784053
2020-09-17,1480000,1241000,1427000,2140000,2101000,75.32,19649.495485926713,16476.367498672334,18945.831120552313,28412.1083377589,27894.31757833245
2020-09-18,1488000,1281000,1420000,2180000,2165000,75.38,19739.984080658,16993.897585566465,18837.888033961262,28920.13796763067,28721.14619262404
2020-09-21,1492000,1247000,1432500,2224000,2140000,75.59,19738.060590025136,16496.891123164438,18950.919433787538,29421.88120121709,28310.623098293425
2020-09-22,1495000,1249000,1456000,2263500,2165000,75.65,19762.062128222075,16510.244547257105,19246.530072703237,29920.687376074024,28618.6384666226
2020-09-23,1500000,1254000,1457500,2266000,2180000,75.72,19809.825673534073,16561.014263074485,19248.54727945061,29926.043317485473,28790.27997886952
2020-09-24,1474000,1237000,1473000,2267500,2110000,75.78,19451.042491422537,16323.568223805752,19437.84639746635,29922.143045658486,27843.758247558722
2020-09-25,1475000,1222000,1460000,2269500,2130000,75.85,19446.27554383652,16110.744891232698,19248.51680949242,29920.89650626236,28081.74027686223
2020-09-28,1500000,1221000,1464000,2276000,2110000,76.06,19721.272679463582,16053.115961083355,19247.962135156456,29923.744412306074,27741.25690244544
2020-09-29,1500000,1215000,1465000,2300000,2110000,76.12,19705.727798213346,15961.63951655281,19245.927482921703,30215.4492905938,27719.39043615344
2020-09-30,1481500,1257000,1466500,2310000,2203000,76.18,19447.361512207928,16500.39380414807,19250.459438172747,30322.919401417694,28918.351273300075
2020-10-01,1500000,1295000,1500000,2330000,2285000,76.25,19672.131147540982,16983.60655737705,19672.131147540982,30557.377049180326,29967.213114754097
